question,answers,wrongChoices,explanation,tags
奈良時代の戸籍に、実際よりも女性が多く記されていることがあるのはなぜだと考えられますか。,男性のほうが税や兵役の負担が重く、性別をいつわって登録したから,当時は女性のほうが人口が多かったから;女性のほうが多くの口分田をあたえられたから;女性しか戸籍に登録できなかったから,租以外の調・庸・兵役は男子の負担だったため、女と偽って登録する例がありました。誤答について、男女の数が大きくかたよるのは不自然で人口の差では説明できず、口分田は男子のほうが多くあたえられ、戸籍には男女とも登録されました。,小5下社会;第3回;奈良時代;税と農民
口分田をあたえられた人が死んだあと、その口分田はどうなりましたか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/003.png,国に返させた,子どもが受けつぐ;寺に納める;そのまま私有地になる,口分田は国のもの（公地）なので、死ぬと国に返させ、次の班田で配り直しました。誤答について、子が受けつぐ・私有地になるのは公地公民に反し、寺に納める決まりもありません。,小5下社会;第3回;奈良時代;税と農民
723年に出された、新しく開墾した土地を三代のあいだ私有してよいとした法を何といいますか。,三世一身の法,墾田永年私財法;班田収授の法;大宝律令,口分田が不足したため、開墾をすすめようとして723年に出されたのが三世一身の法です。誤答について、墾田永年私財法は743年に永久の私有を認めた法、班田収授の法は口分田をあたえるしくみ、大宝律令は701年の法典です。,小5下社会;第3回;奈良時代;土地制度
743年に出された、開墾した土地を永久に私有してよいとした法を何といいますか。,墾田永年私財法,三世一身の法;班田収授の法;十七条の憲法,三世一身の法では開墾が進まなかったため、743年に永久の私有を認めました。誤答について、三世一身の法は723年で三代限り、班田収授の法は口分田を配る制度、十七条の憲法は飛鳥時代のものです。,小5下社会;第3回;奈良時代;土地制度
三世一身の法が出されたのは、墾田永年私財法が出された何年前ですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/004.png,20年前,10年前;30年前;40年前,三世一身の法は723年、墾田永年私財法は743年なので20年前です。誤答の10年・30年・40年はいずれも年代が合いません。,小5下社会;第3回;奈良時代;土地制度
三世一身の法や墾田永年私財法が出されたのはなぜですか。,人口が増えたり農民が逃げたりして口分田が不足したから,農民の税を軽くするため;唐と同じ制度にするため;貴族の反乱をしずめるため,重い税をのがれて口分田を捨てる農民も多く、口分田が不足したため開墾をすすめようとしました。誤答について、これらの法は税を軽くするものではなく、唐にならったものでもなく、反乱への対策でもありません。,小5下社会;第3回;奈良時代;土地制度
墾田永年私財法のあと、貴族や寺社が農民を使って開墾して広げた私有地は、のちに何とよばれましたか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/003.png,荘園,口分田;国分寺;条里,私有が認められたことで、有力な貴族や寺社の私有地（のちの荘園）が広がりました。誤答について、口分田は国から配られる土地、国分寺は聖武天皇が建てさせた寺、条里は土地の区画の仕方です。,小5下社会;第3回;奈良時代;土地制度
墾田永年私財法によってくずれていった、律令制度の基本となる考え方は何ですか。,公地公民,班田収授;天平文化;摂関政治,土地の私有が認められたことで、土地も人民も国のものという公地公民の原則がくずれました。誤答について、班田収授はしくみの名前、天平文化は奈良時代の文化、摂関政治は平安時代の政治です。,小5下社会;第3回;奈良時代;土地制度
710年に元明天皇が都を移した、奈良の都を何といいますか。,平城京,藤原京;長岡京;平安京,710年に平城京に都が移され、ここから奈良時代が始まります。誤答について、藤原京は平城京の前の都、長岡京は784年、平安京は794年に移された平安時代の都です。,小5下社会;第3回;奈良時代;都と貨幣
平城京はどこの国のどの都をモデルにしてつくられましたか。,唐の長安,唐の洛陽;隋の大興城;宋の開封,平城京は唐の都・長安にならい、道路を碁盤の目のように区切ってつくられました。誤答について、洛陽・開封は別の都、隋の都はモデルとされていません。,小5下社会;第3回;奈良時代;都と貨幣
平城京が置かれていたのは、現在の何県ですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/004.png,奈良県,京都府;大阪府;滋賀県,平城京は現在の奈良県奈良市にありました。誤答について、京都府にあったのは平安京、大阪府には難波宮、滋賀県には大津宮が置かれました。,小5下社会;第3回;奈良時代;都と貨幣
710年に都を平城京へ移した天皇はだれですか。,元明天皇,聖武天皇;天智天皇;桓武天皇,平城京へ都を移したのは元明天皇です。誤答について、聖武天皇は大仏をつくらせた天皇、天智天皇は大化の改新を進めた中大兄皇子、桓武天皇は平安京に都を移した天皇です。,小5下社会;第3回;奈良時代;都と貨幣
708年につくられた、日本で広く使われた貨幣を何といいますか。,和同開珎,富本銭;寛永通宝;永楽通宝,708年に和同開珎がつくられ、平城京の周辺などで使われました。誤答について、富本銭は飛鳥時代につくられたとされる貨幣、寛永通宝は江戸時代、永楽通宝は中国（明）の貨幣です。,小5下社会;第3回;奈良時代;都と貨幣
741年、国ごとに国分寺と国分尼寺を建てるよう命じた天皇はだれですか。,聖武天皇,元明天皇;推古天皇;桓武天皇,聖武天皇は仏教の力で国を守ろうとして国分寺・国分尼寺を建てさせました。誤答について、元明天皇は平城京に都を移した天皇、推古天皇は飛鳥時代、桓武天皇は平安時代の天皇です。,小5下社会;第3回;奈良時代;聖武天皇と仏教
聖武天皇が大仏をつくらせた、奈良の都にある寺を何といいますか。,東大寺,唐招提寺;法隆寺;国分尼寺,都に建てられ、全国の国分寺の中心となったのが東大寺です。誤答について、唐招提寺は鑑真が建てた寺、法隆寺は聖徳太子が建てた飛鳥時代の寺、国分尼寺は国ごとに建てられた尼寺です。,小5下社会;第3回;奈良時代;聖武天皇と仏教
聖武天皇が国分寺や大仏をつくらせたおもな目的は何ですか。,仏教の力によって国を守り、不安をしずめるため,農民から多くの税を集めるため;唐と戦うための兵を集めるため;貴族の力をおさえるため,ききんや病気、貴族の争いが続いたため、仏教の力で国を安定させようとしました。誤答について、寺や大仏づくりはむしろ農民の負担を増やしており、唐との戦いや貴族の力をおさえることが目的ではありません。,小5下社会;第3回;奈良時代;聖武天皇と仏教
大仏づくりに協力し、道路や橋をつくりながら民衆に仏教を広めた僧はだれですか。,行基,鑑真;空海;道鏡,行基は民衆の信頼が厚く、朝廷は大仏づくりに協力を求めました。誤答について、鑑真は唐から来日した僧、空海は平安時代に真言宗を開いた僧、道鏡は奈良時代後半に政治に口出しした僧です。,小5下社会;第3回;奈良時代;聖武天皇と仏教
752年に行われた、完成した大仏に目を入れて完成を祝う儀式を何といいますか。,開眼式,法会;大嘗祭;灌漑,752年に大仏の開眼式が盛大に行われました。誤答について、法会は仏教の行事全般、大嘗祭は天皇が即位したときの儀式、灌漑は田に水を引くことです。,小5下社会;第3回;奈良時代;聖武天皇と仏教
6度目の航海でようやく来日し、日本に正しい仏教の決まりを伝えた唐の僧はだれですか。,鑑真,行基;阿倍仲麻呂;最澄,鑑真は何度も航海に失敗し、失明しながらも753年に来日しました。誤答について、行基は日本の僧、阿倍仲麻呂は唐に渡った留学生、最澄は平安時代に天台宗を開いた僧です。,小5下社会;第3回;奈良時代;聖武天皇と仏教
鑑真が奈良に建てた寺を何といいますか。,唐招提寺,東大寺;法隆寺;延暦寺,鑑真は759年に唐招提寺を建て、日本で一生を終えました。誤答について、東大寺は聖武天皇が大仏をつくらせた寺、法隆寺は聖徳太子が建てた寺、延暦寺は平安時代に最澄が建てた寺です。,小5下社会;第3回;奈良時代;聖武天皇と仏教
630年、第1回の遣唐使として唐に送られた人物はだれですか。,犬上御田鍬,小野妹子;阿倍仲麻呂;吉備真備,630年に犬上御田鍬らが最初の遣唐使として送られました。誤答について、小野妹子は607年の遣隋使、阿倍仲麻呂と吉備真備はのちに留学生として唐へ渡った人物です。,小5下社会;第3回;奈良時代;遣唐使
717年に留学生として唐に渡り、皇帝に仕えて日本に帰れないまま唐で一生を終えた人物はだれですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/006.png,阿倍仲麻呂,犬上御田鍬;鑑真;山上憶良,阿倍仲麻呂は帰国の船が難破し、唐で亡くなりました。誤答について、犬上御田鍬は第1回遣唐使、鑑真は唐から日本へ来た僧、山上憶良は貧窮問答歌をよんだ歌人です。,小5下社会;第3回;奈良時代;遣唐使
遣唐使が、危険な東シナ海を横断する航路をとるようになったのはなぜですか。,新羅との関係が悪くなり、朝鮮半島沿いの航路が使えなくなったから,唐との戦いが始まったから;船の性能がよくなったから;海賊がいなくなったから,はじめは朝鮮半島沿いの北路を通っていましたが、新羅との関係が悪化して南路をとるようになり、遭難が増えました。誤答について、唐と戦ったのは白村江の戦い（663年）で遣唐使の航路変更の理由ではなく、船の性能や海賊が理由でもありません。,小5下社会;第3回;奈良時代;遣唐使
東大寺にある、聖武天皇の遺品などが納められた倉を何といいますか。,正倉院,金堂;法隆寺;唐招提寺,正倉院には聖武天皇の遺品や宝物が納められています。誤答について、金堂は本尊をまつる建物、法隆寺と唐招提寺は別の寺です。,小5下社会;第3回;奈良時代;遣唐使
正倉院に使われている、三角形の木材を組み合わせてつくる建築様式を何といいますか。,校倉造,寝殿造;書院造;掘立柱,校倉造は木材を組み上げてつくる倉の造りです。誤答について、寝殿造は平安時代の貴族の住宅、書院造は室町時代の建築、掘立柱は柱を直接地面にうめる建て方です。,小5下社会;第3回;奈良時代;遣唐使
正倉院の宝物のうち、5本の弦をもつ、西アジアの影響が見られる楽器を何といいますか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/005.png,螺鈿紫檀五絃琵琶,銅鐸;埴輪;金印,螺鈿紫檀五絃琵琶はシルクロードを通って伝わった品物の影響を示す宝物です。誤答について、銅鐸と埴輪は弥生・古墳時代の出土品、金印は漢の皇帝から倭の奴国王におくられたものです。,小5下社会;第3回;奈良時代;遣唐使
正倉院の宝物に西アジアの文化や品物の影響が見られるのはなぜですか。,シルクロードを通って唐に伝わり、遣唐使によって日本にもたらされたから,西アジアの人々が直接日本に住んでいたから;日本が西アジアと貿易をしていたから;唐が西アジアを支配していたから,西アジアの文物はシルクロードで唐の長安に集まり、遣唐使が日本に持ち帰りました。誤答について、当時日本が西アジアと直接行き来したり貿易したりした事実はなく、唐が西アジアを支配していたわけでもありません。,小5下社会;第3回;奈良時代;遣唐使
聖武天皇のころ、平城京を中心に栄えた、仏教と唐の影響を受けた国際色ゆたかな文化を何といいますか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/006.png,天平文化,飛鳥文化;白鳳文化;国風文化,天平文化は平城京を中心に栄えた奈良時代の文化です。誤答について、飛鳥文化と白鳳文化は飛鳥時代、国風文化は平安時代中ごろの日本風の文化です。,小5下社会;第3回;奈良時代;天平文化
712年につくられた、神話や伝承をまとめた日本最古の歴史書を何といいますか。,古事記,日本書紀;風土記;万葉集,712年に古事記がつくられました。誤答について、日本書紀は720年の歴史書、風土記は国ごとの産物や伝説をまとめた書物、万葉集は和歌集です。,小5下社会;第3回;奈良時代;天平文化
720年につくられた歴史書を何といいますか。,日本書紀,古事記;風土記;万葉集,720年に日本書紀がつくられ、国の正式な歴史書とされました。誤答について、古事記は712年、風土記は713年に命じられた地方の書物、万葉集は和歌集です。,小5下社会;第3回;奈良時代;天平文化
713年に命じられてつくられた、国ごとの産物・地名の由来・伝説などをまとめた書物を何といいますか。,風土記,古事記;日本書紀;万葉集,風土記は国司に命じてつくらせた、地方のようすを記録した書物です。誤答について、古事記・日本書紀は国の歴史書、万葉集は和歌集です。,小5下社会;第3回;奈良時代;天平文化
8世紀後半にまとめられた、現存する日本最古の和歌集を何といいますか。,万葉集,古今和歌集;新古今和歌集;古事記,万葉集には天皇から農民まで、さまざまな身分の人の歌が約4500首収められています。誤答について、古今和歌集は平安時代、新古今和歌集は鎌倉時代の和歌集、古事記は歴史書です。,小5下社会;第3回;奈良時代;天平文化
『万葉集』に収められた、農民の苦しい生活をよんだ歌を何といいますか。,貧窮問答歌,防人の歌;枕草子;風土記,貧窮問答歌は重い税に苦しむ農民のようすをよんだ歌です。誤答について、防人の歌も万葉集にありますが九州の守りにつく兵士の歌、枕草子は平安時代の随筆、風土記は地方の書物です。,小5下社会;第3回;奈良時代;天平文化
「貧窮問答歌」をよんだ人物はだれですか。,山上憶良,柿本人麻呂;大伴家持;紀貫之,山上憶良は農民の苦しい生活を歌にしました。誤答について、柿本人麻呂と大伴家持も万葉集の歌人ですが貧窮問答歌の作者ではなく、紀貫之は平安時代の歌人です。,小5下社会;第3回;奈良時代;天平文化
奈良時代の律令制度についての説明として、正しいものはどれですか。,班田収授の法では、6歳以上の男女に口分田があたえられた,租は収穫量の約30％の稲を納める税だった;国司には地方の豪族が任命された;令は刑罰についての決まりである,口分田は6歳以上の男女にあたえられました。誤答について、租は収穫量の約3％、国司は都から派遣された貴族（地方の豪族は郡司）、刑罰の決まりは「令」ではなく「律」です。,小5下社会;第3回;奈良時代;まとめ
奈良時代の農民についての説明として、正しいものはどれですか。,調や庸は自分たちで都まで運び、その間の食料も自分で用意した,九州の守りにつく兵役を衛士といった;朝廷の許しがなくても自由に僧になることができた;口分田は死んでも子どもが受けつげた,調・庸の運搬（運脚）は農民の大きな負担でした。誤答について、九州の守りは防人（衛士は都の守り）、僧になるには朝廷の許しが必要、口分田は死ぬと国に返しました。,小5下社会;第3回;奈良時代;まとめ
鑑真についての説明として、正しいものはどれですか。,唐の高僧で、日本の僧の制度を整えるために来日した,留学生として唐に渡り帰国できなかった;大仏づくりのために民衆に呼びかけた日本の僧である;真言宗を開いて高野山に金剛峯寺を建てた,鑑真は正しい仏教の決まりを伝えるために来日し、唐招提寺を建てました。誤答について、唐で亡くなったのは阿倍仲麻呂、大仏づくりに協力した日本の僧は行基、真言宗を開いたのは平安時代の空海です。,小5下社会;第3回;奈良時代;まとめ
次のできごとを古い順に並べたとき、3番目になるのはどれですか。,墾田永年私財法が出される,大宝律令が定められる;平城京に都が移される;鑑真が来日する,大宝律令(701年)→平城京(710年)→墾田永年私財法(743年)→鑑真の来日(753年)の順なので3番目は墾田永年私財法です。誤答について、大宝律令は1番目、平城京は2番目、鑑真の来日は4番目です。,小5下社会;第3回;奈良時代;まとめ
