question,answers,wrongChoices,explanation,tags
漢字をもとにして日本でつくられ、平安時代の文学に多く使われた文字を何といいますか。,かな文字,ローマ字;くさび形文字;甲骨文字,ひらがな・かたかなをまとめてかな文字という。ローマ字はヨーロッパの文字、くさび形文字はメソポタミア、甲骨文字は古代中国の文字で、平安時代の日本の文学に使われたものではない。,小5下社会;第4回;平安時代;国風文化
平安時代の貴族の住まいに用いられた建築様式を何といいますか。,寝殿造,校倉造;書院造;合掌造,貴族の住まいは寝殿造である。校倉造は東大寺正倉院に使われた建築方法、書院造は室町時代の建築様式、合掌造は雪の多い地方の農家の造りである。,小5下社会;第4回;平安時代;国風文化
『源氏物語』を著したのはだれですか。,紫式部,清少納言;紀貫之;藤原道長,『源氏物語』は紫式部が書いた物語である。清少納言は『枕草子』の作者、紀貫之は『古今和歌集』や『土佐日記』にかかわった人物、藤原道長は摂政となった貴族である。,小5下社会;第4回;平安時代;国風文化
『枕草子』を著したのはだれですか。,清少納言,紫式部;紀貫之;藤原頼通,『枕草子』は清少納言が書いた随筆である。紫式部は『源氏物語』の作者で、この二つを取りちがえる問題が多いので注意する。紀貫之は『土佐日記』の作者、藤原頼通は平等院鳳凰堂を建てた貴族である。,小5下社会;第4回;平安時代;国風文化
『枕草子』はどのような作品ですか。,清少納言が書いた随筆,紫式部が書いた物語;紀貫之が書いた日記;紀貫之らが編さんした和歌集,『枕草子』は清少納言の随筆である。紫式部の物語は『源氏物語』、紀貫之の日記は『土佐日記』、紀貫之らが編さんした和歌集は『古今和歌集』である。,小5下社会;第4回;平安時代;国風文化
905年に紀貫之らが編さんした和歌集は何ですか。,古今和歌集,万葉集;新古今和歌集;風土記,『古今和歌集』は紀貫之らが編さんした。『万葉集』は奈良時代の現存最古の和歌集、『新古今和歌集』は鎌倉時代、『風土記』は地方の様子を記した書物である。,小5下社会;第4回;平安時代;国風文化
かな文字で書かれた『土佐日記』の作者はだれですか。,紀貫之,紫式部;清少納言;鴨長明,『土佐日記』は紀貫之が935年ごろにかな文字で書いた日記である。紫式部は『源氏物語』、清少納言は『枕草子』の作者、鴨長明は鎌倉時代の『方丈記』の作者である。,小5下社会;第4回;平安時代;国風文化
平安時代の貴族の正装の組み合わせとして正しいものはどれですか。,男性は束帯、女性は女房装束,男性は女房装束、女性は束帯;男性も女性も束帯;男性も女性も女房装束,男性の正装が束帯、女性の正装が女房装束(十二単ともよばれる)である。男女が逆になっていたり、どちらも同じ装束としているものはまちがいである。,小5下社会;第4回;平安時代;国風文化
国風文化を代表する、日本の風景や人物をえがいた絵画を何といいますか。,大和絵,水墨画;浮世絵;油絵,日本風の絵画は大和絵である。水墨画は室町時代に雪舟が大成した墨の絵、浮世絵は江戸時代の版画、油絵は明治以降に広まった西洋の技法である。,小5下社会;第4回;平安時代;国風文化
939年に関東地方で反乱を起こしたのはだれですか。,平将門,藤原純友;源義家;平清盛,関東で反乱を起こしたのは平将門である。藤原純友は同じころ瀬戸内海で反乱を起こした人物、源義家は東北の争いをしずめた武士、平清盛は平治の乱で勝利した武士である。,小5下社会;第4回;平安時代;武士の登場
平将門が反乱の中で名乗った称号は何ですか。,新皇,太政大臣;征夷大将軍;上皇,平将門は自ら「新皇」と名乗った。太政大臣は朝廷の最高の役職、征夷大将軍は蝦夷討伐の総大将、上皇は天皇の位をゆずった人のよび名で、いずれも将門が名乗ったものではない。,小5下社会;第4回;平安時代;武士の登場
平将門の先祖にあたる天皇はだれですか。,桓武天皇,聖武天皇;天智天皇;白河天皇,平将門は桓武天皇の子孫にあたる桓武平氏の一族である。聖武天皇は奈良時代、天智天皇は飛鳥時代の天皇、白河天皇は将門より後の11世紀に院政を始めた人物である。,小5下社会;第4回;平安時代;武士の登場
平将門を討ったのはだれですか。,平貞盛,平清盛;源義家;藤原純友,将門は反乱を起こすときにおじの平国香を殺したが、その子の平貞盛らにうたれた。平清盛は12世紀の武士、源義家は東北の争いをしずめた武士、藤原純友は同時期に別の反乱を起こした人物である。,小5下社会;第4回;平安時代;武士の登場
平将門の乱についての説明として、まちがっているものはどれですか。,朝廷は、将門の反乱をおさえるのに武士の力を用いなかった,将門の先祖は桓武天皇である;将門は国司をおそい、関東地方を一時支配した;将門は「新皇」と名乗った,朝廷は反乱の鎮圧に武士の力を必要としたため、乱の後に武士が重んじられるようになった。桓武平氏であること、関東を一時支配したこと、新皇を名乗ったことはいずれも正しい。,小5下社会;第4回;平安時代;武士の登場
939年に瀬戸内海で反乱を起こしたのはだれですか。,藤原純友,平将門;藤原元命;源義朝,瀬戸内海で反乱を起こしたのは藤原純友である。平将門は関東で反乱を起こした人物、藤原元命は尾張国の国司、源義朝は平治の乱で平清盛と争った武士である。,小5下社会;第4回;平安時代;武士の登場
【地図】藤原純友が役人をつとめていた伊予国の位置を、地図のア〜エから選びなさい。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/04/001.png,ア,イ;ウ;エ,伊予国は現在の愛媛県で、四国の北西部にあたるアである。イは讃岐国(香川県)、ウは阿波国(徳島県)、エは土佐国(高知県)にあたる。,小5下社会;第4回;平安時代;武士の登場
藤原純友が役人をつとめていた伊予は、現在の何県ですか。,愛媛県,香川県;徳島県;高知県,伊予は現在の愛媛県である。香川県は讃岐、徳島県は阿波、高知県は土佐にあたる。,小5下社会;第4回;平安時代;武士の登場
平将門の乱と藤原純友の乱の結果、どのようなことが起こりましたか。,反乱が武士の力でしずめられたため、武士の力が認められるようになった,朝廷が貴族の兵だけでしずめ、武士はおとろえた;反乱が成功して武士の政府がつくられた;反乱をきっかけに都が平安京に移された,どちらの乱も武士の力でしずめられたため、10世紀半ば以降、武士が重んじられるようになった。貴族の兵だけでおさえたのではなく、反乱は失敗しており、遷都はこれより前の794年のできごとである。,小5下社会;第4回;平安時代;武士の登場
11世紀後半、東北地方で2度にわたって起こった争いをしずめたのはだれですか。,源義家,平清盛;坂上田村麻呂;藤原純友,東北の争いをしずめたのは源義家らである。平清盛は平治の乱で勝利した武士、坂上田村麻呂は8〜9世紀の征夷大将軍、藤原純友は939年の反乱を起こした人物である。,小5下社会;第4回;平安時代;武士の登場
11世紀末に平泉を拠点として勢力をのばした一族は何ですか。,奥州藤原氏,平氏;源氏;北条氏,東北地方で平泉を中心に栄えたのは奥州藤原氏である。平氏は平清盛の一族、源氏は源義家や源頼朝の一族、北条氏は鎌倉時代に執権となった一族である。,小5下社会;第4回;平安時代;武士の登場
1124年に奥州藤原氏が平泉に完成させた建物は何ですか。,中尊寺金色堂,平等院鳳凰堂;厳島神社;金剛峯寺,平泉に建てられたのは中尊寺金色堂である。平等院鳳凰堂は藤原頼通が宇治に建てた阿弥陀堂、厳島神社は平清盛が信仰した神社、金剛峯寺は空海が高野山に建てた寺である。,小5下社会;第4回;平安時代;武士の登場
988年に出された「尾張国郡司百姓等解文」はどのような文書ですか。,郡司や百姓が、国司の不正を朝廷にうったえた文書,天皇が国司に命令を伝えた文書;武士が幕府に領地を求めた文書;貴族が都の生活を記した日記,地方の郡司や百姓が国司の悪政を朝廷にうったえたもので、地方政治の乱れを示す資料である。天皇の命令でも、武士の願い出でも、貴族の日記でもない。,小5下社会;第4回;平安時代;武士の登場
尾張国は現在の何県にあたりますか。,愛知県,岐阜県;三重県;静岡県,尾張国は現在の愛知県の西部にあたる。岐阜県は美濃・飛騨、三重県は伊勢・伊賀、静岡県は駿河・遠江などにあたる。,小5下社会;第4回;平安時代;武士の登場
「尾張国郡司百姓等解文」でうったえられた国司はだれですか。,藤原元命,藤原純友;藤原良房;藤原基経,うったえられた国司は藤原元命である。藤原純友は瀬戸内海で反乱を起こした人物、藤原良房と藤原基経は9世紀に摂政・関白となった人物である。,小5下社会;第4回;平安時代;武士の登場
1086年に院政を始めたのはだれですか。,白河上皇,後鳥羽上皇;桓武天皇;藤原頼通,院政を始めたのは白河上皇である。後鳥羽上皇は鎌倉時代に承久の乱を起こした人物、桓武天皇は平安京に都を移した天皇、藤原頼通は摂関政治を行った貴族である。,小5下社会;第4回;平安時代;院政
院政とはどのような政治ですか。,天皇の位を退いた人物が、上皇として行う政治,天皇が幼いときに摂政が代わって行う政治;将軍を助ける執権が行う政治;武士が幕府を開いて行う政治,位をゆずった天皇が上皇として実権をにぎるのが院政である。摂政が行うのは摂関政治、執権が行うのは鎌倉時代の執権政治、幕府による政治は武家政治である。,小5下社会;第4回;平安時代;院政
「院政」とよばれるのはなぜですか。,上皇や上皇の住まいを「院」とよんだから,院という新しい役所が置かれたから;寺院で政治が行われたから;院という都に都が移されたから,上皇やその住まいを「院」とよんだことから院政という。新しい役所の名前でも、寺での政治でも、地名でもない。,小5下社会;第4回;平安時代;院政
1156年に京都で上皇と天皇が対立して起こった戦いを何といいますか。,保元の乱,平治の乱;承久の乱;壬申の乱,天皇と上皇の対立から起こったのが保元の乱である。平治の乱は1159年に平清盛と源義朝が争った戦い、承久の乱は鎌倉時代、壬申の乱は飛鳥時代の戦いである。,小5下社会;第4回;平安時代;院政
保元の乱についての説明として正しいものはどれですか。,天皇と上皇の対立による争いで、天皇方が勝利した,天皇と上皇の対立による争いで、上皇方が勝利した;平清盛と源義朝の対立から起こった争いである;後鳥羽上皇が幕府をたおそうとして起こした争いである,保元の乱は天皇方が勝利し、天皇方についた平清盛と源義朝がのちに対立することになった。上皇方が勝ったのではなく、平清盛と源義朝の争いは平治の乱、後鳥羽上皇の戦いは鎌倉時代の承久の乱である。,小5下社会;第4回;平安時代;院政
1159年に平清盛と源義朝が争った戦いを何といいますか。,平治の乱,保元の乱;承久の乱;壇ノ浦の戦い,平清盛と源義朝の争いは平治の乱である。保元の乱は1156年の天皇と上皇の争い、承久の乱は鎌倉時代、壇ノ浦の戦いは1185年に平氏がほろびた戦いである。,小5下社会;第4回;平安時代;平氏の政治
平治の乱に勝利し、政治の実権をにぎったのはだれですか。,平清盛,源義朝;源義家;藤原頼通,平治の乱に勝ったのは平清盛である。源義朝は敗れた側の武士、源義家は東北の争いをしずめた武士、藤原頼通は摂関政治を行った貴族である。,小5下社会;第4回;平安時代;平氏の政治
1167年に武士として初めて太政大臣となったのはだれですか。,平清盛,源頼朝;平将門;藤原道長,武士として初めて太政大臣になったのは平清盛である。源頼朝は鎌倉幕府を開いて征夷大将軍となった人物、平将門は10世紀に反乱を起こした武士、藤原道長は貴族である。,小5下社会;第4回;平安時代;平氏の政治
太政大臣とはどのような地位ですか。,朝廷からあたえられる、貴族の最高の役職,幕府で将軍を助ける役職;国ごとに置かれた地方の役人;寺や僧を監督する役職,太政大臣は朝廷の最高の役職で、本来は貴族の位であったが、平清盛が武士として初めてついた。将軍を助けるのは執権、地方の役人は国司、寺を監督する役職とも異なる。,小5下社会;第4回;平安時代;平氏の政治
平清盛が貿易を行った中国の王朝はどれですか。,宋,唐;隋;元,平清盛が貿易した相手は宋で、これを日宋貿易という。唐は907年にほろび、隋はさらに前の王朝、元は鎌倉時代に日本を襲った王朝である。,小5下社会;第4回;平安時代;平氏の政治
日宋貿易のために平清盛が整備した港はどれですか。,大輪田泊,博多;堺;難波津,平清盛は大輪田泊を整備して日宋貿易をさかんにした。博多は古くからの貿易港だが清盛が整備した港ではなく、堺は室町・戦国時代に栄えた港、難波津は古代の大阪の港である。,小5下社会;第4回;平安時代;平氏の政治
大輪田泊は現在のどこの港の一部ですか。,神戸港,大阪港;博多港;横浜港,大輪田泊は現在の神戸港の一部にあたる。大阪港や博多港、横浜港ではない。,小5下社会;第4回;平安時代;平氏の政治
平清盛があつく信仰した寺社はどれですか。,厳島神社,法隆寺;東大寺;金剛峯寺,平清盛は厳島神社をあつく信仰し、現在は世界文化遺産に登録されている。法隆寺は聖徳太子が建てた寺、東大寺は聖武天皇が建てた寺、金剛峯寺は空海が建てた寺である。,小5下社会;第4回;平安時代;平氏の政治
桓武天皇が長岡京から平安京に都を移したのは何年ですか。,794年,784年;797年;894年,平安京への遷都は794年である。784年は長岡京への遷都、797年は坂上田村麻呂が征夷大将軍に任命された年、894年は遣唐使の派遣が停止された年である。,小5下社会;第4回;平安時代;年号
遣唐使の派遣が停止されたのは何年ですか。,894年,794年;905年;939年,894年に菅原道真の意見で遣唐使の派遣が停止された。平安京に都が移ったちょうど100年後にあたる。905年は『古今和歌集』の編さん、939年は平将門・藤原純友の乱の年である。,小5下社会;第4回;平安時代;年号
紀貫之らが『古今和歌集』を編さんしたのは何年ですか。,905年,894年;935年;1016年,『古今和歌集』の編さんは905年である。894年は遣唐使の停止、935年ごろは『土佐日記』、1016年は藤原道長が摂政になった年である。,小5下社会;第4回;平安時代;年号
平将門と藤原純友がそれぞれ反乱を起こしたのは何年ですか。,939年,905年;988年;1086年,どちらの乱も939年に起こった。905年は『古今和歌集』、988年は尾張国郡司百姓等解文、1086年は院政の開始の年である。,小5下社会;第4回;平安時代;年号
藤原道長が摂政に任命されたのは何年ですか。,1016年,1019年;1053年;1086年,藤原道長が摂政となったのは1016年である。1019年は子の藤原頼通が関白となった年、1053年は平等院鳳凰堂の完成、1086年は院政の開始の年である。,小5下社会;第4回;平安時代;年号
白河上皇が院政を始めたのは何年ですか。,1086年,1016年;1156年;1167年,院政の開始は1086年である。1016年は藤原道長が摂政になった年、1156年は保元の乱、1167年は平清盛が太政大臣になった年である。,小5下社会;第4回;平安時代;年号
保元の乱が起こったのは何年ですか。,1156年,1086年;1159年;1167年,保元の乱は1156年である。1086年は院政の開始、1159年は平治の乱、1167年は平清盛が太政大臣になった年である。,小5下社会;第4回;平安時代;年号
平治の乱が起こったのは何年ですか。,1159年,1156年;1167年;1185年,平治の乱は1159年である。1156年は保元の乱、1167年は平清盛が太政大臣になった年、1185年は平氏がほろびた壇ノ浦の戦いの年である。,小5下社会;第4回;平安時代;年号
平清盛が武士として初めて太政大臣になったのは何年ですか。,1167年,1156年;1159年;1086年,平清盛が太政大臣になったのは1167年である。1156年は保元の乱、1159年は平治の乱、1086年は白河上皇の院政開始の年である。,小5下社会;第4回;平安時代;年号
平安時代のころ、朝鮮半島で新羅にかわって成立した国はどれですか。,高麗,百済;渤海;高句麗,10世紀に新羅にかわって高麗が成立した。百済と高句麗は7世紀にほろんだ国、渤海は中国東北部にあった国である。,小5下社会;第4回;平安時代;年号
平安時代について説明した文として正しいものはどれですか。,藤原氏は娘を天皇の后にし、生まれた子どもを天皇にすることで政治の実権をにぎった,桓武天皇は平城京から藤原京、次いで平安京に都を移した;桓武天皇は坂上田村麻呂を太政大臣に任命し、東北地方に兵を送った;平清盛は大輪田泊を整えて唐との貿易をさかんに行った,藤原氏の摂関政治の説明が正しい。桓武天皇が移った先は藤原京ではなく長岡京、坂上田村麻呂が任命されたのは太政大臣ではなく征夷大将軍、平清盛の貿易相手は唐ではなく宋である。,小5下社会;第4回;平安時代;総合
平安時代の文化について説明した文として正しいものはどれですか。,男性は束帯、女性は女房装束が貴族の正装とされた,紫式部が『枕草子』を、清少納言が『源氏物語』を著した;貴族の住まいには校倉造が用いられた;京都の町では空海が浄土教を広めた,貴族の正装の説明が正しい。『枕草子』は清少納言、『源氏物語』は紫式部の作品で作者が逆であり、貴族の住まいは寝殿造(校倉造は正倉院)、京都で浄土教を広めたのは空海ではなく空也である。,小5下社会;第4回;平安時代;総合
「天皇家の内部の争いなどから平治の乱が起こり、天皇方が上皇方に勝利した」の下線部の誤りを正しく直すとどうなりますか。,保元の乱,承久の乱;壬申の乱;前九年の役,天皇家の内部の争いから起こったのは保元の乱である。平治の乱は保元の乱の後に平清盛と源義朝の対立から起こった戦い、承久の乱は鎌倉時代、壬申の乱は飛鳥時代、前九年の役は東北の争いである。,小5下社会;第4回;平安時代;総合
10世紀半ば以降に武士の力が認められるようになったのはなぜですか。,平将門の乱や藤原純友の乱が、武士の力でしずめられたため,武士が朝廷から太政大臣に任命されたため;武士が幕府を開いて政治を行ったため;武士が遣唐使として唐にわたったため,10世紀前半に起きた二つの反乱を武士の力でおさえたことから、武士が重んじられるようになった。太政大臣となるのは1167年の平清盛、幕府が開かれるのは鎌倉時代、武士が遣唐使になったわけでもない。,小5下社会;第4回;平安時代;総合
