question,answers,wrongChoices,explanation,tags
604年に聖徳太子が出した、役人の心得を示したものを何といいますか。,憲法十七条,大宝律令;班田収授の法;墾田永年私財法,憲法十七条は604年に聖徳太子が役人の心得を示したものである。大宝律令は701年に唐の律令制度にならって定められた法律。班田収授の法は農民に口分田を分けあたえる制度。墾田永年私財法は743年に土地の私有を永久に認めた法で、いずれも役人の心得ではない。,小5;社会;歴史;第5回;飛鳥;年表
聖徳太子に協力した有力な豪族はだれですか。,蘇我馬子,蘇我入鹿;蘇我蝦夷;中臣鎌足,聖徳太子とともに政治を行った豪族は蘇我馬子である。蘇我入鹿は馬子より後の世代で、中大兄皇子と中臣鎌足らによって父の蝦夷とともにほろぼされた人物。蘇我蝦夷も同じく大化の改新のときにほろぼされた。中臣鎌足は蘇我氏をたおした側の人物で、聖徳太子の協力者ではない。,小5;社会;歴史;第5回;飛鳥;人物
聖徳太子が建てた、現存する世界最古の木造建築として知られる寺院はどこですか。,法隆寺,東大寺;延暦寺;平等院鳳凰堂,法隆寺は聖徳太子が建てた寺院で、四天王寺などとともに飛鳥文化を代表する。東大寺は奈良時代に聖武天皇が総国分寺として建てさせた寺。延暦寺は平安時代初めに最澄が比叡山に建てた寺。平等院鳳凰堂は平安時代に藤原頼通が建てた阿弥陀堂で、時代も建てた人物もちがう。,小5;社会;歴史;第5回;飛鳥;文化
6世紀終わりから7世紀ごろに栄えた、日本で初めての仏教文化を何といいますか。,飛鳥文化,天平文化;国風文化;鎌倉文化,飛鳥文化は仏教が朝廷に保護されて豪族の間に広まったころの、日本初の仏教文化である。天平文化は8世紀ごろ、遣唐使がもたらした唐の文化と仏教の影響を受けた文化。国風文化は9世紀後半から10世紀の日本の風土にあった文化。鎌倉文化は武士による素朴で力強い文化で、いずれも時代が後。,小5;社会;歴史;第5回;飛鳥;文化
645年に中大兄皇子と中臣鎌足が蘇我氏をたおして始めた、天皇中心の新しい政治の改革を何といいますか。,大化の改新,壬申の乱;摂関政治;院政,大化の改新は645年に中大兄皇子と中臣鎌足が中心となって進めた、天皇中心の国づくりの改革である。壬申の乱は672年に天智天皇の後つぎをめぐって起こった戦い。摂関政治は平安時代に藤原氏が摂政・関白として実権をにぎった政治。院政は上皇が行う政治で、いずれも別のできごと。,小5;社会;歴史;第5回;飛鳥;年表
672年、天智天皇の後つぎを争う壬申の乱に勝って即位した天皇はだれですか。,天武天皇,天智天皇;桓武天皇;聖武天皇,壬申の乱に勝った大海人皇子が天武天皇として即位した。天智天皇は中大兄皇子が即位した後の名で、壬申の乱はその死後の後つぎ争いである。桓武天皇は794年に平安京に都を移した天皇。聖武天皇は奈良時代に大仏をつくらせた天皇で、いずれも時代がちがう。,小5;社会;歴史;第5回;飛鳥;年表
701年、唐の律令制度にならって定められた法律を何といいますか。,大宝律令,憲法十七条;御成敗式目;班田収授の法,大宝律令は701年に唐の制度にならってつくられ、中大兄皇子（天智天皇）がめざした律令政治を完成させた。憲法十七条は604年に聖徳太子が出した役人の心得。御成敗式目は鎌倉時代に北条泰時が定めた武士の法律。班田収授の法は口分田を分けあたえる制度で、律令そのものではない。,小5;社会;歴史;第5回;飛鳥;年表
710年に都が移された場所はどこですか。,平城京,平安京;長岡京;藤原京,710年に都は奈良の平城京に移された。平安京は794年に桓武天皇が移した都。長岡京は784年に平城京から移された都で、平安京へ移る前の都。藤原京は平城京よりも前の都で、いずれも710年の移転先ではない。,小5;社会;歴史;第5回;奈良;年表
723年、農民に分けあたえる口分田が不足したために定められた法を何といいますか。,三世一身の法,墾田永年私財法;班田収授の法;大宝律令,三世一身の法は723年に定められ、新しく土地を開いた者に三代のあいだ私有を認めた。墾田永年私財法は口分田の不足が続いたため743年に定められ、永久の私有を認めた法で20年後のもの。班田収授の法は口分田を分けあたえる制度そのもの。大宝律令は701年の法律で目的がちがう。,小5;社会;歴史;第5回;奈良;年表
743年に定められた、開墾した土地の私有を永久に認める法を何といいますか。,墾田永年私財法,三世一身の法;班田収授の法;公地公民,墾田永年私財法は743年、聖武天皇の時代に定められ、開墾した土地を永久に自分のものにしてよいとした。三世一身の法は723年の法で、私有が認められるのは三代までだった。班田収授の法は国が口分田を分けあたえ、死ねば返させる制度。公地公民は土地と人民を国のものとする考え方で、私有を認める法ではない。,小5;社会;歴史;第5回;奈良;年表
743年に大仏を建てるよう命じた天皇はだれですか。,聖武天皇,桓武天皇;推古天皇;天武天皇,聖武天皇は仏教の力で国を守ろうと考え、国ごとに国分寺と国分尼寺を建て、都には総国分寺として東大寺を建てて大仏をつくらせた。桓武天皇は平安京に都を移した天皇。推古天皇は聖徳太子を摂政とした天皇。天武天皇は壬申の乱に勝って即位した天皇で、いずれも大仏を命じた人物ではない。,小5;社会;歴史;第5回;奈良;年表
東大寺にある、校倉造という建築方法で建てられた宝物庫を何といいますか。,正倉院,法隆寺;寝殿造;平等院鳳凰堂,正倉院は校倉造で建てられた東大寺の宝物庫で、インドや西アジアの文化の影響を受けた品物も収められている。法隆寺は聖徳太子が建てた寺院で宝物庫ではない。寝殿造は平安時代の貴族の住まいのつくりの名前。平等院鳳凰堂は藤原頼通が建てた阿弥陀堂で、いずれも東大寺の建物ではない。,小5;社会;歴史;第5回;奈良;文化
8世紀ごろ、遣唐使によってもたらされた唐の文化と仏教の影響を受けた文化を何といいますか。,天平文化,飛鳥文化;国風文化;鎌倉文化,天平文化は聖武天皇のころに栄えた、唐の文化と仏教の影響を強く受けた文化である。飛鳥文化はそれ以前の日本初の仏教文化。国風文化は遣唐使の停止後、日本の風土にあった文化として9世紀後半から栄えたもの。鎌倉文化は武士の時代の文化で、いずれも時代がちがう。,小5;社会;歴史;第5回;奈良;文化
現存する日本最古の和歌集で、天皇から一般の人までさまざまな身分の人の歌が収められているものは何ですか。,万葉集,古今和歌集;新古今和歌集;古事記,万葉集は奈良時代につくられた現存する日本最古の和歌集で、防人の歌など一般の人々の歌も収められている。古今和歌集は平安時代に紀貫之らがまとめた和歌集。新古今和歌集は鎌倉時代の和歌集。古事記は奈良時代につくられた歴史書であり、和歌集ではない。,小5;社会;歴史;第5回;奈良;文化
『万葉集』にも歌が収められている、九州の守りについた兵役を何といいますか。,防人,渡来人;御家人;国司,防人は3年間九州の守りにつく兵役で、その苦しさをよんだ歌が『万葉集』に収められている。渡来人は大陸から日本に移り住んで技術を伝えた人々。御家人は鎌倉時代に将軍と主従関係を結んだ武士。国司は地方に派遣された役人で、いずれも九州の守りの兵役ではない。,小5;社会;歴史;第5回;奈良
農民のきびしい生活を悲しみ、それを伝えるために歌をよんだ奈良時代の人物はだれですか。,山上憶良,紀貫之;紫式部;清少納言,山上憶良は貧しい農民の生活をよんだ歌を残した奈良時代の歌人である。紀貫之は平安時代に『古今和歌集』をまとめ『土佐日記』を書いた人物。紫式部は『源氏物語』を書いた人物。清少納言は『枕草子』を書いた人物で、いずれも平安時代の国風文化を代表する人々である。,小5;社会;歴史;第5回;奈良;人物
遣唐使にしたがって唐に留学し、唐の高官になったものの帰国できず一生を唐で送った人物はだれですか。,阿倍仲麻呂,鑑真;菅原道真;空海,阿倍仲麻呂は唐で高官となったが帰国できず、望郷の歌を残した。鑑真は逆に唐から日本に来た僧。菅原道真は894年に遣唐使の派遣停止を提案した人物で、唐に渡ってはいない。空海は唐に留学したが帰国して真言宗を開いた人物である。,小5;社会;歴史;第5回;奈良;人物
唐から日本に来て、仏教の戒律をさかんにするために律宗を伝えた僧はだれですか。,鑑真,阿倍仲麻呂;最澄;行基,鑑真は何度も失敗しながら日本に渡り、戒律を伝えて仏教をさかんにした唐の僧である。阿倍仲麻呂は日本から唐へ渡って帰国できなかった人物で向きが逆。最澄は平安時代初めに天台宗を伝えた日本の僧。行基は大仏づくりに協力した日本の僧で、唐から来た人物ではない。,小5;社会;歴史;第5回;奈良;人物
蘇我蝦夷・入鹿の親子をほろぼし、天皇中心の新しい政治をめざした人物はだれですか。,中大兄皇子,聖徳太子;天武天皇;藤原道長,中大兄皇子は中臣鎌足らとともに蘇我氏をたおし、大化の改新を進め、のちに天智天皇として即位した。聖徳太子は蘇我馬子と協力して政治を行った人物で時期が前。天武天皇は壬申の乱に勝った大海人皇子。藤原道長は平安時代の人物で時代がちがう。,小5;社会;歴史;第5回;飛鳥;人物
日本で初めて女性で天皇になった人物はだれですか。,推古天皇,持統天皇;卑弥呼;元明天皇,推古天皇は聖徳太子のおばで、聖徳太子を摂政に任命した日本初の女性の天皇である。持統天皇や元明天皇も女性の天皇だが、推古天皇より後の時代の人物。卑弥呼は邪馬台国の女王であり天皇ではない。,小5;社会;歴史;第5回;飛鳥;人物
ヤマト政権の大王で、埼玉県で出土した鉄剣に名前がきざまれていた人物はだれですか。,ワカタケル大王,卑弥呼;聖徳太子;蘇我馬子,ワカタケル大王は稲荷山古墳の鉄剣にきざまれた大王の名で、天皇としては雄略天皇、中国の歴史書では倭王武と記されている。卑弥呼は邪馬台国の女王で大王ではない。聖徳太子は飛鳥時代の摂政。蘇我馬子は豪族であり、いずれも鉄剣の人物ではない。,小5;社会;歴史;第5回;古墳;人物
ワカタケル大王の名がきざまれた鉄剣が発見された、埼玉県の古墳を何といいますか。,稲荷山古墳,大仙古墳;高松塚古墳;江田船山古墳,稲荷山古墳は埼玉県にあり、ワカタケル大王の名をきざんだ鉄剣が出土した。大仙古墳は大阪府にある日本最大の前方後円墳。高松塚古墳は奈良県にある壁画で有名な古墳。江田船山古墳は熊本県の古墳で、埼玉県の古墳ではない。,小5;社会;歴史;第5回;古墳
794年に都が移された場所はどこですか。,平安京,長岡京;平城京;藤原京,桓武天皇は784年に平城京から長岡京へ、さらに794年に長岡京から平安京へ都を移した。長岡京は794年より前に都だった場所。平城京は710年からの都で、仏教勢力が強かったためここから移された。藤原京は平城京よりさらに前の都である。,小5;社会;歴史;第5回;平安;年表
政治の乱れを正すために平城京から長岡京、さらに平安京へと都を移した天皇はだれですか。,桓武天皇,聖武天皇;天武天皇;推古天皇,桓武天皇は仏教勢力を政治から切りはなし律令政治を立て直すため、784年に長岡京、794年に平安京へ都を移した。聖武天皇は奈良時代に大仏をつくらせた天皇。天武天皇は壬申の乱の後に即位した天皇。推古天皇は飛鳥時代の天皇で、いずれも平安京への遷都とは関係がない。,小5;社会;歴史;第5回;平安;年表
797年に坂上田村麻呂が任命され、東北地方に出兵することになった役職は何ですか。,征夷大将軍,太政大臣;摂政;関白,坂上田村麻呂は桓武天皇によって征夷大将軍に任命され、東北地方に派遣された。太政大臣は律令制で最高の役職で、平清盛が武士として初めてついたもの。摂政は天皇が幼いときに代わって政治を行う役職。関白は成人した天皇を助ける役職で、いずれも東北への出兵の役職ではない。,小5;社会;歴史;第5回;平安;年表
894年、唐のおとろえや航海の危険を理由に遣唐使の派遣停止を提案した人物はだれですか。,菅原道真,阿倍仲麻呂;藤原道長;平清盛,菅原道真は最後の遣唐使に任じられたが、唐のおとろえや航海の危険を理由に派遣の停止を提案した。阿倍仲麻呂は唐で一生を終えた人物で時代が前。藤原道長は11世紀に摂政となった人物。平清盛は12世紀に太政大臣となった武士で、いずれも遣唐使の停止とは関係がない。,小5;社会;歴史;第5回;平安;年表
894年に決まったのは、遣唐使のどのような措置でしたか。,派遣の停止,制度の廃止;人数の増加;航路の北路への変更,894年に決まったのは遣唐使の「派遣の停止」である。その後も遣唐使に関する役職についた人がいたことから、制度そのものが廃止されたわけではないと考えられており、「廃止」という表現は現在では使われなくなってきている。人数の増加や航路の変更が決まった事実はない。,小5;社会;歴史;第5回;平安;資料
最澄が伝え、比叡山に延暦寺を建てて広めた仏教の宗派は何ですか。,天台宗,真言宗;浄土真宗;臨済宗,最澄は天台宗を伝え、比叡山に延暦寺を建てた。真言宗は空海が開き、高野山に金剛峯寺を建てた宗派。浄土真宗は鎌倉時代に親鸞が開いた宗派。臨済宗も鎌倉時代に栄西が伝えた宗派で、いずれも平安時代初めの最澄とは結びつかない。,小5;社会;歴史;第5回;平安;文化
9世紀初め、空海が開いた仏教の宗派は何ですか。,真言宗,天台宗;浄土宗;曹洞宗,空海は唐に留学し、帰国後に真言宗を開いて高野山に金剛峯寺を建てた。天台宗は最澄が比叡山の延暦寺で広めた宗派。浄土宗は鎌倉時代に法然が開いた宗派。曹洞宗も鎌倉時代に道元が開いた宗派で、いずれも空海のものではない。,小5;社会;歴史;第5回;平安;文化
939年に関東地方で反乱を起こした武士はだれですか。,平将門,藤原純友;平清盛;源義家,平将門は関東地方で反乱を起こした桓武平氏の武士である。藤原純友は同じころ瀬戸内海の海賊を率いて反乱を起こした人物で、起こした場所がちがう。平清盛は12世紀に政治の実権をにぎった武士。源義家は11世紀後半の東北地方の争いをしずめた武士で、時期がちがう。,小5;社会;歴史;第5回;平安;年表
10世紀前半に瀬戸内海の海賊を率いて反乱を起こした人物はだれですか。,藤原純友,平将門;藤原道長;源義家,藤原純友は伊予（現在の愛媛県）の役人で、瀬戸内海の海賊を率いて反乱を起こしたがしずめられた。平将門は同じころ関東地方で反乱を起こした人物。藤原道長は平安時代中ごろに摂関政治の全盛期をつくった貴族。源義家は東北地方の争いをしずめた武士で、いずれも瀬戸内海の反乱とは関係がない。,小5;社会;歴史;第5回;平安;年表
平将門や藤原純友の反乱がしずめられたことで、社会にどのような変化が起こりましたか。,武士の力が認められるようになった,貴族が政治から追い出された;朝廷が全国の土地を農民に分けあたえた;遣唐使が再び送られるようになった,どちらの反乱も武士の力によってしずめられたため、朝廷は反乱の鎮圧に武士の力が必要だと認めるようになり、武士が重んじられて勢力を強めていった。貴族が政治から追い出されたのはさらに後の武士の政権の成立後。土地を分けあたえる班田収授の制度はすでにくずれていた。遣唐使は894年に派遣が停止されたままである。,小5;社会;歴史;第5回;平安;記述
1016年に摂政に任命され、むすめを次々と天皇のきさきにして一族の政治の全盛期をつくった人物はだれですか。,藤原道長,藤原頼通;藤原純友;藤原鎌足,藤原道長はむすめを天皇のきさきにして力を得て、1016年に摂政となった。藤原頼通は道長の息子で、1019年に関白となった人物。藤原純友は瀬戸内海で反乱を起こした人物。藤原鎌足（中臣鎌足）は大化の改新を進めた飛鳥時代の人物で、時代がちがう。,小5;社会;歴史;第5回;平安;年表
1019年に関白に任命され、のちに平等院鳳凰堂を建てた人物はだれですか。,藤原頼通,藤原道長;白河上皇;平清盛,藤原頼通は藤原道長の息子で、関白として政治の実権をにぎり、阿弥陀仏をまつる平等院鳳凰堂を建てた。藤原道長は父で、1016年に摂政となった人物。白河上皇は1086年に院政を始めた人物。平清盛は武士として太政大臣になった人物で、いずれも平等院鳳凰堂を建ててはいない。,小5;社会;歴史;第5回;平安;年表
藤原氏が、天皇が幼いときは摂政、成人してからは関白として政治の実権をにぎった政治を何といいますか。,摂関政治,院政;執権政治;律令政治,摂関政治は藤原氏が自分のむすめを天皇のきさきにし、生まれた子どもを次の天皇にして、摂政や関白の役職について実権をにぎった政治である。院政は天皇の位を退いた上皇が行う政治。執権政治は鎌倉時代に北条氏が行った政治。律令政治は律令にもとづく天皇中心の政治で、いずれも藤原氏の政治のよび名ではない。,小5;社会;歴史;第5回;平安;政治
1086年に白河上皇が始めた、位を退いた天皇が上皇として行う政治を何といいますか。,院政,摂関政治;執権政治;封建制度,白河天皇は1086年に堀河天皇に位をゆずり、自らは上皇となって院政を始めた。上皇やその住居を「院」とよぶことからこの名がある。摂関政治は藤原氏が摂政・関白として行った政治。執権政治は鎌倉時代の北条氏の政治。封建制度は御恩と奉公による将軍と武士の関係で、いずれも上皇の政治ではない。,小5;社会;歴史;第5回;平安;年表
1156年、京都で上皇と天皇が対立して起こった戦いを何といいますか。,保元の乱,平治の乱;壬申の乱;承久の乱,保元の乱は天皇と上皇の対立による争いで、天皇方が勝利した。平治の乱はその後、保元の乱で天皇方についた平清盛と源義朝が対立して起こった戦い。壬申の乱は672年の後つぎ争い。承久の乱は鎌倉時代に後鳥羽上皇が起こした戦いで、いずれも1156年のできごとではない。,小5;社会;歴史;第5回;平安;年表
1159年に起こり、平清盛が勝利して政治の実権をにぎるきっかけとなった戦いを何といいますか。,平治の乱,保元の乱;壬申の乱;承久の乱,平治の乱は保元の乱のあと、平清盛と源義朝の対立から起こった戦いで、勝利した平清盛が政治の実権をにぎった。保元の乱は天皇家の内部の争いから起こった1156年の戦い。壬申の乱は飛鳥時代の後つぎ争い。承久の乱は鎌倉時代の戦いで、いずれも1159年の戦いではない。,小5;社会;歴史;第5回;平安;年表
1167年、平清盛が武士として初めてついた律令制における最高の役職は何ですか。,太政大臣,征夷大将軍;摂政;執権,太政大臣はもともと朝廷からあたえられる貴族の位で、平清盛が武士として初めてこれについた。征夷大将軍は坂上田村麻呂や源頼朝が任命された役職。摂政は天皇に代わって政治を行う役職。執権は鎌倉時代に北条氏がついた役職で、いずれも1167年の平清盛の役職ではない。,小5;社会;歴史;第5回;平安;年表
平清盛が瀬戸内海の航路や大輪田泊を整備して貿易を行った相手の国はどこですか。,宋,唐;明;新羅,唐が907年にほろびた後、960年に宋が成立し、平清盛はこの宋と貿易を行って宋銭や陶磁器を輸入した。唐は平清盛の時代にはすでにほろびている。明は室町時代に足利義満が貿易した相手国。新羅は朝鮮半島の国で、平清盛の貿易相手ではない。,小5;社会;歴史;第5回;平安;貿易
9世紀後半から10世紀にかけて栄えた、唐の文化をふまえながら日本の自然や風土にあった文化を何といいますか。,国風文化,天平文化;飛鳥文化;鎌倉文化,国風文化は遣唐使の派遣が停止されたころから、藤原道長・頼通父子の摂関政治のころに栄えた文化で、かな文字を使った文学が生まれた。天平文化は唐の文化の影響が強い奈良時代の文化。飛鳥文化は日本初の仏教文化。鎌倉文化は武士による素朴で力強い文化である。,小5;社会;歴史;第5回;平安;文化
清少納言が書いた随筆は何ですか。,枕草子,源氏物語;土佐日記;古今和歌集,『枕草子』は清少納言が書いた随筆である。『源氏物語』は紫式部が書いた物語。『土佐日記』は紀貫之が書いた日記。『古今和歌集』は紀貫之らがまとめた和歌集で、いずれも清少納言の作品ではない。,小5;社会;歴史;第5回;平安;文化
紫式部が書いた、かな文字を使った物語は何ですか。,源氏物語,枕草子;万葉集;新古今和歌集,『源氏物語』は紫式部が書いた長編物語である。『枕草子』を書いたのは清少納言。『万葉集』は奈良時代の和歌集。『新古今和歌集』は鎌倉時代の和歌集で、いずれも紫式部の作品ではない。,小5;社会;歴史;第5回;平安;文化
紀貫之が書いた、かな文字による日記は何ですか。,土佐日記,枕草子;源氏物語;方丈記,『土佐日記』は紀貫之が書いた日記で、紀貫之は『古今和歌集』をまとめた人物でもある。『枕草子』は清少納言の随筆。『源氏物語』は紫式部の物語。『方丈記』は鎌倉時代に鴨長明が書いた随筆で、時代がちがう。,小5;社会;歴史;第5回;平安;文化
平安時代の貴族の住まいのつくりを何といいますか。,寝殿造,校倉造;書院造;高床倉庫,寝殿造は国風文化のころの貴族の住まいのつくりである。校倉造は東大寺の正倉院に用いられた倉の建築方法。書院造は室町時代に生まれた武士の住まいのつくり。高床倉庫は弥生時代に稲を保存した建物で、いずれも平安貴族の住まいではない。,小5;社会;歴史;第5回;平安;文化
10世紀ごろから広まった、阿弥陀仏を信仰すれば救われるとする教えを何といいますか。,浄土教,真言宗;天台宗;禅宗,浄土教（浄土信仰）は阿弥陀仏を信じれば救われるとする教えで、京都では空也らが人々に広め、阿弥陀堂が建てられた。真言宗は空海が開いた宗派。天台宗は最澄が伝えた宗派。禅宗は鎌倉時代に栄西や道元が伝えた仏教で、いずれも阿弥陀仏への信仰を中心とするものではない。,小5;社会;歴史;第5回;平安;文化
藤原頼通が建てた、阿弥陀仏をまつる建物は何ですか。,平等院鳳凰堂,正倉院;法隆寺;延暦寺,平等院鳳凰堂は藤原頼通が建てた阿弥陀堂で、浄土信仰の広まりを示す建物である。正倉院は東大寺の宝物庫。法隆寺は聖徳太子が建てた寺。延暦寺は最澄が比叡山に建てた寺で、いずれも藤原頼通が建てたものではない。,小5;社会;歴史;第5回;平安;文化
稲作が広まり、収穫した食料がたくわえられるようになったことで、社会にはどのような変化が生まれましたか。,身分の差や貧富の差が生まれた,だれもが平等な社会になった;人々が移動しながら暮らすようになった;土地がすべて国のものになった,たくわえが多いか少ないかによって人々の間に身分の差や貧富の差が生まれ、やがてむらがまとまってくにがつくられ、王があらわれた。平等な社会になったのは逆で、差が生まれたことが重要。移動しながらの暮らしは稲作以前の採集や狩りの生活。土地が国のものとされたのは大化の改新のころの公地公民の考えで、時代がちがう。,小5;社会;歴史;第5回;弥生;記述
平安時代に栄えた国風文化の特色を簡単に説明するとどうなりますか。,唐の文化を土台にした日本の自然や生活にあった文化,中国から伝わったままの文化;武士による素朴で力強い文化;仏教の影響をまったく受けない文化,国風文化は唐の文化をふまえながら、日本の自然や風土・生活にあった形につくりかえられた文化で、かな文字を用いた文学が生まれた。中国から伝わったままの文化というのは天平文化に近い説明。武士による素朴で力強い文化は鎌倉文化の説明。浄土教が広まるなど仏教の影響も受けているため、仏教と無関係という説明も誤り。,小5;社会;歴史;第5回;平安;記述
東大寺を建てさせた天皇はだれですか。,聖武天皇,聖徳太子;桓武天皇;推古天皇,東大寺は聖武天皇が国ごとに建てさせた国分寺の総国分寺として奈良時代に建てられた。聖徳太子が建てたのは法隆寺や四天王寺。桓武天皇は平安京に都を移した天皇で、当初は都に寺を建てることもしなかった。推古天皇は聖徳太子を摂政とした天皇である。,小5;社会;歴史;第5回;奈良;文化
【資料】遣唐使の航路を示した地図です。南路が北路よりも危険だったのはなぜですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/05/001.png,途中で立ち寄れる大きな港が少なく航海の時期が台風と重なったから,航路の距離が北路よりずっと長かったから;新羅の海賊におそわれやすかったから;冬の氷にとざされることが多かったから,南路は東シナ海を横断するため、北路のように途中で立ち寄ることのできる大きな港が少なく補給に不安があり、さらに海が荒れやすかった。遣唐使船が航海したのは5月から12月で台風の影響を受けやすい時期だった。距離そのものよりも寄港地の少なさと季節が問題であり、海賊や氷が理由として資料から読み取れるわけではない。,小5;社会;歴史;第5回;平安;資料;図
【資料】遣唐使船が航海した月を示した表です。唐へ出発した回数が最も多い月は何月ですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/05/002.png,8月,5月;10月;12月,表の○（唐への派遣）は8月が5回で最も多く、7月と10月が各1回である。5月・12月に多いのは●の帰国のほうで、出発ではない。10月の出発は1回だけ。航海が5月から12月に集中していることから、遣唐使船は台風の時期に航海していたことが読み取れる。,小5;社会;歴史;第5回;平安;資料;図
【資料】天皇家と藤原道長・平清盛の関係を示した図です。二人に共通する権力のにぎり方はどのようなものですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/05/003.png,自分のむすめを天皇と結婚させ生まれた子どもを次の天皇にした,武力で天皇をたおして自分が天皇になった;外国の皇帝の力を借りて地位を得た;都を移して天皇から離れた場所で政治を行った,資料からは藤原道長がむすめの彰子を一条天皇に、平清盛がむすめの徳子を高倉天皇にとつがせ、生まれた子ども（後一条天皇・安徳天皇）を次の天皇にして天皇と親族の関係を築いたことが読み取れる。二人とも天皇をたおしてはいないし、外国の力を借りたわけでもない。都を移したのは桓武天皇などで、この二人の方法ではない。,小5;社会;歴史;第5回;平安;資料;図
